chi_over_kappa	current	noise	qfi_rate	noise_over_current_squared	inverse_qfi_rate
0.01900379695939188	0.0007233335088391907	0.001451905186629478	0.000722288597747584	2774.987860981947	1384.488143822903
0.01910381694338868	0.0007309787434050987	0.001467307035384353	0.0007299116436130088	2746.069369079307	1370.028836709706
0.01920383692738548	0.0007386643457417272	0.001482791390180078	0.0007375747054672281	2717.601553438929	1355.794867404698
0.01930385691138228	0.0007463903195559283	0.001498358277210073	0.0007452777833102425	2689.575097873817	1341.781577814352
0.01940387689537908	0.0007541566685741964	0.001514007722809147	0.0007530208771420519	2661.980925684442	1327.984429588872
0.01950389687937587	0.0007619633965426745	0.001529739753453583	0.0007608039869626559	2634.810192308851	1314.399000447253
0.01960391686337267	0.0007698105072271583	0.001545554395761204	0.0007686271127720551	2608.054278234609	1301.020980633246
0.01970393684736947	0.0007776980044131	0.00156145167649145	0.000776490254570249	2581.704782161953	1287.846169496941
0.01980395683136627	0.0007856258919056138	0.001577431622545448	0.0007843934123572376	2555.753514408046	1274.870472196888
0.01990397681536307	0.0007935941735294802	0.001593494260966094	0.0007923365861330214	2530.19249054265	1262.089896517936
0.02000399679935987	0.0008016028531291504	0.001609639618938118	0.0008003197758976	2505.01392524599	1249.50054980017
0.02010401678335667	0.0008096519345687509	0.001625867723788166	0.0008083429816509734	2480.210226380004	1237.098635974525
0.02020403676735347	0.0008177414217320889	0.001642178602984874	0.0008164062033931417	2455.773989264511	1224.880452700882
0.02030405675135027	0.0008258713185226562	0.001658572284138947	0.0008245094411241051	2431.697991150288	1212.842388604596
0.02040407673534707	0.0008340416288636335	0.001675048795003225	0.0008326526948438629	2407.975185881306	1200.980920607622
0.02050409671934387	0.0008422523566978973	0.001691608163472776	0.000840835964552416	2384.598698738804	1189.292611350548
0.02060411670334067	0.0008505035059880218	0.001708250417584956	0.0008490592502497639	2361.56182146013	1177.774106702017
0.02070413668733747	0.0008587950807162858	0.001724975585519501	0.0008573225519359065	2338.858007425616	1166.422133352162
0.02080415667133427	0.000867127084884677	0.001741783695598599	0.0008656258696108441	2316.480867007046	1155.233496486843
0.02090417665533107	0.000875499522514896	0.001758674776286965	0.0008739692032745767	2294.424163071539	1144.205077539589
0.02100419663932786	0.0008839123976483619	0.001775648856191924	0.0008823525529271039	2272.681806634952	1133.333832018295
0.02110421662332466	0.0008923657143462177	0.001792705964063493	0.0008907759185684262	2251.247852659129	1122.61678740385
0.02120423660732147	0.0009008594766893341	0.001809846128794454	0.0008992393001985435	2230.116495987601	1112.051041117987
0.02130425659131826	0.0009093936887783148	0.001827069379420438	0.0009077426978174552	2209.282067414531	1101.633758557756
0.02140427657531506	0.0009179683547335025	0.001844375745120007	0.0009162861114251623	2188.739029881954	1091.362171194139
0.02150429655931186	0.0009265834786949819	0.001861765255214731	0.0009248695410216641	2168.481974800528	1081.233574732435
0.02160431654330866	0.0009352390648225859	0.001879237939169268	0.0009334929866069605	2148.505618489252	1071.245327332108
0.02170433652730546	0.000943935117295902	0.001896793826591456	0.0009421564481810521	2128.804798729755	1061.394847883939
0.02180435651130226	0.0009526716403142738	0.00191443294723238	0.0009508599257439386	2109.374471430985	1051.67961434237
0.02190437649529906	0.0009614486380968094	0.001932155330986464	0.0009596034192956198	2090.209707400256	1042.097162111024
0.02200439647929586	0.0009702661148823853	0.001949961007891558	0.0009683869288360959	2071.305689216797	1032.645082479479
0.02210441646329266	0.0009791240749296513	0.001967850008129007	0.0009772104543653672	2052.657708204105	1023.321021109453
0.02220443644728946	0.0009880225225170351	0.001985822362023746	0.0009860739958834329	2034.261161497557	1014.122676568598
0.02230445643128626	0.0009969614619427503	0.002003878100044385	0.0009949775533902938	2016.111549203849	1005.047798910229
0.02240447641528306	0.001005940897524797	0.002022017252803285	0.00100392112688595	1998.204471649019	996.0941882973293
0.02250449639927985	0.001014960833600971	0.002040239851056647	0.0010129047163704	1980.535626711878	987.2596936692702
0.02260451638327666	0.001024021274528868	0.002058545925704603	0.001021928321843645	1963.100807239869	978.5422114497377
